Accession Number,Transcript Id,FPKM Value
NW_006432224.1,10710,3.07
NW_006432224.1,10711,0.91
NW_006432224.1,10712,4.79
NW_006432224.1,10713,4.89
NW_006432224.1,10714,1.51
NW_006432224.1,10715,1.72
NW_006432224.1,10716,2.54
NW_006432224.1,10717,15.94
NW_006432224.1,10718,0.0
NW_006432224.1,10719,0.99
NW_006429782.1,1072,6.34
NW_006432224.1,10720,3.2
NW_006432224.1,10721,1.23
NW_006432224.1,10722,1.23
NW_006432224.1,10723,10.13
NW_006432224.1,10724,0.0
NW_006432224.1,10725,4.93
NW_006432224.1,10726,3.75
NW_006432227.1,10727,2.33
NW_006432227.1,10728,3.15
NW_006432227.1,10729,28.39
NW_006429782.1,1073,4.71
NW_006432227.1,10730,26.77
NW_006432227.1,10731,21.66
NW_006432227.1,10732,19.97
NW_006432227.1,10733,3.34
NW_006432227.1,10734,3.34
NW_006432227.1,10735,2.13
NW_006432227.1,10736,5.8
NW_006432227.1,10737,14.91
NW_006432227.1,10738,6.59
NW_006432227.1,10739,5.12
NW_006429782.1,1074,1.51
NW_006432227.1,10740,3.99
NW_006432227.1,10741,2.18
NW_006432227.1,10742,4.54
NW_006432227.1,10743,0.0
NW_006432227.1,10744,2.78
NW_006432227.1,10745,2.48
NW_006432227.1,10746,2.98
NW_006432227.1,10747,3.54
NW_006432227.1,10748,3.39
NW_006432227.1,10749,3.02
NW_006429782.1,1075,1.99
NW_006432227.1,10750,6.94
NW_006432227.1,10751,0.0
NW_006432227.1,10752,4.76
NW_006432227.1,10753,6.43
NW_006432227.1,10754,7.76
NW_006432227.1,10755,5.6
NW_006432227.1,10756,6.14
NW_006432227.1,10757,8.87
NW_006432227.1,10758,3.24
NW_006432227.1,10759,2.86
NW_006429782.1,1076,9.24
NW_006432227.1,10760,8.02
NW_006432227.1,10761,9.04
NW_006432227.1,10762,11.09
NW_006432227.1,10763,3.59
NW_006432227.1,10764,9.58
NW_006432227.1,10765,17.2
NW_006432227.1,10766,5.78
NW_006432227.1,10767,7.94
NW_006432227.1,10768,5.8
NW_006432227.1,10769,6.35
NW_006429782.1,1077,1.46
NW_006432227.1,10770,1.89
NW_006432227.1,10771,5.5
NW_006432227.1,10772,0.0
NW_006432227.1,10773,5.42
NW_006432227.1,10774,5.31
NW_006432227.1,10775,12.85
NW_006432227.1,10776,4.12
NW_006432227.1,10777,3.07
